Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",145.964783,-105.367494,-90.000000,top
"C2","0.1uF","C_0603_1608Metric",147.771147,-105.367494,-90.000000,top
"C3","0.1uF","C_0603_1608Metric",151.964783,-105.210167,90.000000,top
"C4","22uF","C_0805_2012Metric",153.689886,-105.069311,90.000000,top
"C5","10uF","C_0805_2012Metric",156.031613,-105.054355,90.000000,top
"D1","6V2","D_SOD-123F",142.312189,-106.576505,180.000000,top
"D2","TVS","D_SMA",148.964783,-101.758254,0.000000,top
"D3","LED","LED_0603_1608Metric",154.345131,-100.892105,0.000000,top
"F1","PTC","Fuse_1206_3216Metric",138.172469,-103.511947,0.000000,top
"J1","BATT_IN","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",133.914783,-103.520332,-90.000000,top
"J2","3.3V_OUT","PinHeader_1x02_P2.54mm_Horizontal",158.817112,-103.570773,0.000000,top
"Q1","DMG2305UX-7","SOT-23",142.398142,-103.367494,90.000000,top
"R1","470K","R_0805_2012Metric",137.803023,-105.907719,0.000000,top
"R2","1K","R_0603_1608Metric",157.426351,-100.909712,180.000000,top
"TP1","V_IN","TestPoint_Pad_D1.5mm",138.487487,-98.367494,0.000000,top
"TP2","GND","TestPoint_Pad_D1.5mm",148.487487,-98.367494,0.000000,top
"TP3","V_OUT","TestPoint_Pad_D1.5mm",158.987487,-98.367494,0.000000,top
"U1","TLV75533PDRV","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",149.903538,-105.367494,180.000000,top
